regressionExample(med_house_val(id1),4.526).
regressionExample(med_house_val(id52),0.938).
regressionExample(med_house_val(id53),0.975).
regressionExample(med_house_val(id54),1.042).
regressionExample(med_house_val(id55),0.875).
regressionExample(med_house_val(id56),0.831).
regressionExample(med_house_val(id57),0.875).
regressionExample(med_house_val(id58),0.853).
regressionExample(med_house_val(id59),0.803).
regressionExample(med_house_val(id60),0.6).
regressionExample(med_house_val(id61),0.757).
regressionExample(med_house_val(id62),0.75).
regressionExample(med_house_val(id63),0.861).
regressionExample(med_house_val(id64),0.761).
regressionExample(med_house_val(id65),0.735).
regressionExample(med_house_val(id66),0.784).
regressionExample(med_house_val(id67),0.844).
regressionExample(med_house_val(id68),0.813).
regressionExample(med_house_val(id69),0.85).
regressionExample(med_house_val(id70),1.292).
regressionExample(med_house_val(id71),0.825).
regressionExample(med_house_val(id72),0.952).
regressionExample(med_house_val(id73),0.75).
regressionExample(med_house_val(id74),0.675).
regressionExample(med_house_val(id75),1.375).
regressionExample(med_house_val(id76),1.775).
regressionExample(med_house_val(id77),1.021).
regressionExample(med_house_val(id78),1.083).
regressionExample(med_house_val(id79),1.125).
regressionExample(med_house_val(id80),1.313).
regressionExample(med_house_val(id81),1.625).
regressionExample(med_house_val(id82),1.125).
regressionExample(med_house_val(id83),1.125).
regressionExample(med_house_val(id84),1.375).
regressionExample(med_house_val(id85),1.188).
regressionExample(med_house_val(id86),0.982).
regressionExample(med_house_val(id87),1.188).
regressionExample(med_house_val(id88),1.625).
regressionExample(med_house_val(id89),1.375).
regressionExample(med_house_val(id90),5.00001).
regressionExample(med_house_val(id91),1.625).
regressionExample(med_house_val(id92),1.375).
regressionExample(med_house_val(id93),1.625).
regressionExample(med_house_val(id94),1.875).
regressionExample(med_house_val(id95),1.792).
regressionExample(med_house_val(id96),1.3).
regressionExample(med_house_val(id97),1.838).
regressionExample(med_house_val(id98),1.25).
regressionExample(med_house_val(id99),1.7).
regressionExample(med_house_val(id100),1.931).
regressionExample(med_house_val(id101),2.578).
regressionExample(med_house_val(id102),2.734).
regressionExample(med_house_val(id103),2.375).
regressionExample(med_house_val(id104),3.5).
regressionExample(med_house_val(id105),3.357).
regressionExample(med_house_val(id106),3.134).
regressionExample(med_house_val(id107),2.685).
regressionExample(med_house_val(id108),2.594).
regressionExample(med_house_val(id109),2.757).
regressionExample(med_house_val(id110),2.25).
regressionExample(med_house_val(id111),2.625).
regressionExample(med_house_val(id112),2.185).
regressionExample(med_house_val(id113),2.55).
regressionExample(med_house_val(id114),2.241).
regressionExample(med_house_val(id115),2.431).
regressionExample(med_house_val(id116),2.316).
regressionExample(med_house_val(id117),2.185).
regressionExample(med_house_val(id118),2.341).
regressionExample(med_house_val(id119),3.276).
regressionExample(med_house_val(id120),3.476).
regressionExample(med_house_val(id121),3.661).
regressionExample(med_house_val(id122),3.35).
regressionExample(med_house_val(id123),3.736).
regressionExample(med_house_val(id124),3.895).
regressionExample(med_house_val(id125),3.911).
regressionExample(med_house_val(id126),3.373).
regressionExample(med_house_val(id127),2.952).
regressionExample(med_house_val(id128),2.923).
regressionExample(med_house_val(id129),4.115).
regressionExample(med_house_val(id130),3.115).
regressionExample(med_house_val(id131),3.259).
regressionExample(med_house_val(id132),3.926).
regressionExample(med_house_val(id133),3.193).
regressionExample(med_house_val(id134),3.333).
regressionExample(med_house_val(id135),3.352).
regressionExample(med_house_val(id136),3.512).
regressionExample(med_house_val(id137),3.689).
regressionExample(med_house_val(id138),3.659).
regressionExample(med_house_val(id139),3.667).
regressionExample(med_house_val(id140),3.628).
regressionExample(med_house_val(id141),4.833).
regressionExample(med_house_val(id142),3.314).
regressionExample(med_house_val(id143),3.235).
regressionExample(med_house_val(id144),2.167).
regressionExample(med_house_val(id145),2.331).
regressionExample(med_house_val(id146),2.964).
regressionExample(med_house_val(id147),2.737).
regressionExample(med_house_val(id148),2.277).
regressionExample(med_house_val(id149),1.996).
regressionExample(med_house_val(id150),2.398).
regressionExample(med_house_val(id151),2.701).
regressionExample(med_house_val(id152),3.021).
regressionExample(med_house_val(id153),2.695).
regressionExample(med_house_val(id154),3.147).
regressionExample(med_house_val(id155),3.901).
regressionExample(med_house_val(id156),4.103).
regressionExample(med_house_val(id157),3.524).
regressionExample(med_house_val(id158),2.873).
regressionExample(med_house_val(id159),3.487).
regressionExample(med_house_val(id160),2.438).
regressionExample(med_house_val(id161),2.115).
regressionExample(med_house_val(id162),2.184).
regressionExample(med_house_val(id163),2.699).
regressionExample(med_house_val(id164),2.188).
regressionExample(med_house_val(id165),2.25).
regressionExample(med_house_val(id166),2.5).
regressionExample(med_house_val(id167),1.714).
regressionExample(med_house_val(id168),1.938).
regressionExample(med_house_val(id169),1.25).
regressionExample(med_house_val(id170),0.975).
regressionExample(med_house_val(id171),1.25).
regressionExample(med_house_val(id172),1.388).
regressionExample(med_house_val(id173),1.167).
regressionExample(med_house_val(id174),1.518).
regressionExample(med_house_val(id175),1.27).
regressionExample(med_house_val(id176),1.286).
regressionExample(med_house_val(id177),1.406).
regressionExample(med_house_val(id178),1.827).
regressionExample(med_house_val(id179),1.469).
regressionExample(med_house_val(id180),1.228).
regressionExample(med_house_val(id181),1.693).
regressionExample(med_house_val(id182),1.266).
regressionExample(med_house_val(id183),1.279).
regressionExample(med_house_val(id184),1.235).
regressionExample(med_house_val(id185),1.119).
regressionExample(med_house_val(id186),1.128).
regressionExample(med_house_val(id187),1.079).
regressionExample(med_house_val(id188),1.375).
regressionExample(med_house_val(id189),1.055).
regressionExample(med_house_val(id190),0.955).
regressionExample(med_house_val(id191),1.161).
regressionExample(med_house_val(id192),1.122).
regressionExample(med_house_val(id193),0.75).
regressionExample(med_house_val(id194),1.125).
regressionExample(med_house_val(id195),1.25).
regressionExample(med_house_val(id196),1.15).
regressionExample(med_house_val(id197),0.95).
regressionExample(med_house_val(id198),0.964).
regressionExample(med_house_val(id199),0.72).
regressionExample(med_house_val(id200),0.713).
regressionExample(med_house_val(id201),0.808).
regressionExample(med_house_val(id202),1.288).
regressionExample(med_house_val(id203),1.125).
regressionExample(med_house_val(id204),1.194).
regressionExample(med_house_val(id205),1.181).
regressionExample(med_house_val(id206),1.225).
regressionExample(med_house_val(id207),1.063).
regressionExample(med_house_val(id208),1.325).
regressionExample(med_house_val(id209),1.227).
regressionExample(med_house_val(id210),1.133).
regressionExample(med_house_val(id211),1.095).
regressionExample(med_house_val(id212),1.647).
regressionExample(med_house_val(id213),1.25).
regressionExample(med_house_val(id214),1.247).
regressionExample(med_house_val(id215),1.367).
regressionExample(med_house_val(id216),1.417).
regressionExample(med_house_val(id217),1.5).
regressionExample(med_house_val(id218),1.388).
regressionExample(med_house_val(id219),1.392).
regressionExample(med_house_val(id220),1.438).
regressionExample(med_house_val(id221),1.565).
regressionExample(med_house_val(id222),1.51).
regressionExample(med_house_val(id223),2.73).
regressionExample(med_house_val(id224),2.171).
regressionExample(med_house_val(id225),1.871).
regressionExample(med_house_val(id226),2.396).
regressionExample(med_house_val(id227),2.297).
regressionExample(med_house_val(id228),2.573).
regressionExample(med_house_val(id229),2.469).
regressionExample(med_house_val(id230),1.799).
regressionExample(med_house_val(id231),1.696).
regressionExample(med_house_val(id232),2.033).
regressionExample(med_house_val(id233),2.634).
regressionExample(med_house_val(id234),2.318).
regressionExample(med_house_val(id235),1.405).
regressionExample(med_house_val(id236),1.26).
regressionExample(med_house_val(id237),1.22).
regressionExample(med_house_val(id238),1.347).
regressionExample(med_house_val(id239),1.394).
regressionExample(med_house_val(id240),1.154).
regressionExample(med_house_val(id241),1.373).
regressionExample(med_house_val(id242),1.37).
regressionExample(med_house_val(id243),1.426).
regressionExample(med_house_val(id244),1.375).
regressionExample(med_house_val(id245),1.117).
regressionExample(med_house_val(id246),1.268).
regressionExample(med_house_val(id247),1.113).
regressionExample(med_house_val(id248),1.148).
regressionExample(med_house_val(id249),1.023).
regressionExample(med_house_val(id250),1.319).
regressionExample(med_house_val(id251),1.191).
regressionExample(med_house_val(id252),0.806).
regressionExample(med_house_val(id253),0.806).
regressionExample(med_house_val(id254),0.888).
regressionExample(med_house_val(id255),1.024).
regressionExample(med_house_val(id256),0.987).
regressionExample(med_house_val(id257),1.0).
regressionExample(med_house_val(id258),0.923).
regressionExample(med_house_val(id259),0.948).
regressionExample(med_house_val(id260),1.02).
regressionExample(med_house_val(id261),1.584).
regressionExample(med_house_val(id262),1.216).
regressionExample(med_house_val(id263),1.291).
regressionExample(med_house_val(id264),1.214).
regressionExample(med_house_val(id265),1.028).
regressionExample(med_house_val(id266),1.6).
regressionExample(med_house_val(id267),1.439).
regressionExample(med_house_val(id268),1.512).
regressionExample(med_house_val(id269),1.644).
regressionExample(med_house_val(id270),1.565).
regressionExample(med_house_val(id271),2.25).
regressionExample(med_house_val(id272),1.742).
regressionExample(med_house_val(id273),1.669).
regressionExample(med_house_val(id274),1.635).
regressionExample(med_house_val(id275),2.53).
regressionExample(med_house_val(id276),2.407).
regressionExample(med_house_val(id277),2.081).
regressionExample(med_house_val(id278),1.981).
regressionExample(med_house_val(id279),1.728).
regressionExample(med_house_val(id280),3.367).
regressionExample(med_house_val(id281),3.182).
regressionExample(med_house_val(id282),2.858).
regressionExample(med_house_val(id283),2.93).
regressionExample(med_house_val(id284),3.71).
regressionExample(med_house_val(id285),1.573).
regressionExample(med_house_val(id286),1.353).
regressionExample(med_house_val(id287),1.367).
regressionExample(med_house_val(id288),1.607).
regressionExample(med_house_val(id289),1.406).
regressionExample(med_house_val(id290),1.44).
regressionExample(med_house_val(id291),1.619).
regressionExample(med_house_val(id292),1.563).
regressionExample(med_house_val(id293),1.76).
regressionExample(med_house_val(id294),1.458).
regressionExample(med_house_val(id295),1.419).
regressionExample(med_house_val(id296),0.907).
regressionExample(med_house_val(id297),0.906).
regressionExample(med_house_val(id298),1.079).
regressionExample(med_house_val(id299),1.07).
regressionExample(med_house_val(id300),0.982).
regressionExample(med_house_val(id301),0.895).
regressionExample(med_house_val(id302),0.938).
regressionExample(med_house_val(id303),0.967).
regressionExample(med_house_val(id304),0.975).
regressionExample(med_house_val(id305),0.973).
regressionExample(med_house_val(id306),0.912).
regressionExample(med_house_val(id307),0.914).
regressionExample(med_house_val(id308),0.962).
regressionExample(med_house_val(id309),1.201).
regressionExample(med_house_val(id310),1.0).
regressionExample(med_house_val(id311),0.947).
regressionExample(med_house_val(id312),0.857).
regressionExample(med_house_val(id313),0.893).
regressionExample(med_house_val(id314),1.014).
regressionExample(med_house_val(id315),0.725).
regressionExample(med_house_val(id316),0.741).
regressionExample(med_house_val(id317),0.7).
regressionExample(med_house_val(id318),0.846).
regressionExample(med_house_val(id319),0.818).
regressionExample(med_house_val(id320),0.814).
regressionExample(med_house_val(id321),0.818).
regressionExample(med_house_val(id322),0.858).
regressionExample(med_house_val(id323),0.871).
regressionExample(med_house_val(id324),0.835).
regressionExample(med_house_val(id325),0.797).
regressionExample(med_house_val(id326),0.834).
regressionExample(med_house_val(id327),0.847).
regressionExample(med_house_val(id328),0.8).
regressionExample(med_house_val(id329),0.764).
regressionExample(med_house_val(id330),0.797).
regressionExample(med_house_val(id331),0.824).
regressionExample(med_house_val(id332),0.977).
regressionExample(med_house_val(id333),0.972).
regressionExample(med_house_val(id334),1.016).
regressionExample(med_house_val(id335),0.865).
regressionExample(med_house_val(id336),0.905).
regressionExample(med_house_val(id337),1.076).
regressionExample(med_house_val(id338),0.842).
regressionExample(med_house_val(id339),0.889).
regressionExample(med_house_val(id340),0.807).
regressionExample(med_house_val(id341),0.871).
regressionExample(med_house_val(id342),0.851).
regressionExample(med_house_val(id343),0.82).
regressionExample(med_house_val(id344),0.828).
regressionExample(med_house_val(id345),0.846).
regressionExample(med_house_val(id346),0.821).
regressionExample(med_house_val(id347),0.893).
regressionExample(med_house_val(id348),0.983).
regressionExample(med_house_val(id349),0.923).
regressionExample(med_house_val(id350),0.888).
regressionExample(med_house_val(id351),0.9).
regressionExample(med_house_val(id352),0.955).
regressionExample(med_house_val(id353),0.917).
regressionExample(med_house_val(id354),1.004).
regressionExample(med_house_val(id355),0.948).
regressionExample(med_house_val(id356),1.643).
regressionExample(med_house_val(id357),1.555).
regressionExample(med_house_val(id358),1.969).
regressionExample(med_house_val(id359),2.791).
regressionExample(med_house_val(id360),2.528).
regressionExample(med_house_val(id361),2.754).
regressionExample(med_house_val(id362),2.5).
regressionExample(med_house_val(id363),3.298).
regressionExample(med_house_val(id364),1.955).
regressionExample(med_house_val(id365),2.559).
regressionExample(med_house_val(id366),3.111).
regressionExample(med_house_val(id367),3.3).
regressionExample(med_house_val(id368),2.489).
regressionExample(med_house_val(id369),1.429).
regressionExample(med_house_val(id370),1.263).
regressionExample(med_house_val(id371),1.358).
regressionExample(med_house_val(id372),1.306).
regressionExample(med_house_val(id373),1.079).
regressionExample(med_house_val(id374),1.111).
regressionExample(med_house_val(id375),1.22).
regressionExample(med_house_val(id376),1.18).
regressionExample(med_house_val(id377),0.952).
regressionExample(med_house_val(id378),0.943).
regressionExample(med_house_val(id379),0.925).
regressionExample(med_house_val(id380),0.918).
regressionExample(med_house_val(id381),1.094).
regressionExample(med_house_val(id382),1.295).
regressionExample(med_house_val(id383),1.434).
regressionExample(med_house_val(id384),0.982).
regressionExample(med_house_val(id385),1.031).
regressionExample(med_house_val(id386),2.768).
regressionExample(med_house_val(id387),2.709).
regressionExample(med_house_val(id388),2.462).
regressionExample(med_house_val(id389),2.242).
regressionExample(med_house_val(id390),2.291).
regressionExample(med_house_val(id391),2.116).
regressionExample(med_house_val(id392),2.561).
regressionExample(med_house_val(id393),2.063).
regressionExample(med_house_val(id394),2.213).
regressionExample(med_house_val(id395),2.074).
regressionExample(med_house_val(id396),3.5).
regressionExample(med_house_val(id397),2.182).
regressionExample(med_house_val(id398),2.167).
regressionExample(med_house_val(id399),2.706).
regressionExample(med_house_val(id400),2.614).
regressionExample(med_house_val(id401),2.613).
regressionExample(med_house_val(id402),2.322).
regressionExample(med_house_val(id403),3.754).
regressionExample(med_house_val(id404),3.573).
regressionExample(med_house_val(id405),3.744).
regressionExample(med_house_val(id406),3.588).
regressionExample(med_house_val(id407),4.175).
regressionExample(med_house_val(id408),4.305).
regressionExample(med_house_val(id409),3.629).
regressionExample(med_house_val(id410),3.97).
regressionExample(med_house_val(id411),3.468).
regressionExample(med_house_val(id412),3.271).
regressionExample(med_house_val(id413),2.901).
regressionExample(med_house_val(id414),2.92).
regressionExample(med_house_val(id415),2.709).
regressionExample(med_house_val(id416),3.711).
regressionExample(med_house_val(id417),3.356).
regressionExample(med_house_val(id418),3.713).
regressionExample(med_house_val(id419),3.44).
regressionExample(med_house_val(id420),3.422).
regressionExample(med_house_val(id421),3.709).
regressionExample(med_house_val(id422),3.5).
regressionExample(med_house_val(id423),3.686).
regressionExample(med_house_val(id424),3.918).
regressionExample(med_house_val(id425),4.153).
regressionExample(med_house_val(id426),2.849).
regressionExample(med_house_val(id427),2.875).
regressionExample(med_house_val(id428),2.729).
regressionExample(med_house_val(id429),2.596).
regressionExample(med_house_val(id430),2.545).
regressionExample(med_house_val(id431),2.356).
regressionExample(med_house_val(id432),2.184).
regressionExample(med_house_val(id433),2.292).
regressionExample(med_house_val(id434),1.921).
regressionExample(med_house_val(id435),1.793).
regressionExample(med_house_val(id436),1.875).
regressionExample(med_house_val(id437),1.388).
regressionExample(med_house_val(id438),1.5).
regressionExample(med_house_val(id439),1.406).
regressionExample(med_house_val(id440),1.2).
regressionExample(med_house_val(id441),1.448).
regressionExample(med_house_val(id442),1.448).
regressionExample(med_house_val(id443),2.455).
regressionExample(med_house_val(id444),2.0).
regressionExample(med_house_val(id445),1.737).
regressionExample(med_house_val(id446),1.856).
regressionExample(med_house_val(id447),1.826).
regressionExample(med_house_val(id448),2.279).
regressionExample(med_house_val(id449),2.207).
regressionExample(med_house_val(id450),2.12).
regressionExample(med_house_val(id451),2.714).
regressionExample(med_house_val(id452),2.688).
regressionExample(med_house_val(id453),2.778).
regressionExample(med_house_val(id454),3.325).
regressionExample(med_house_val(id455),3.389).
regressionExample(med_house_val(id456),2.875).
regressionExample(med_house_val(id457),3.846).
regressionExample(med_house_val(id458),3.714).
regressionExample(med_house_val(id459),3.5).
regressionExample(med_house_val(id460),5.00001).
regressionExample(med_house_val(id461),1.75).
regressionExample(med_house_val(id462),2.417).
regressionExample(med_house_val(id463),2.167).
regressionExample(med_house_val(id464),2.113).
regressionExample(med_house_val(id465),2.102).
regressionExample(med_house_val(id466),1.964).
regressionExample(med_house_val(id467),1.917).
regressionExample(med_house_val(id468),1.823).
regressionExample(med_house_val(id469),1.75).
regressionExample(med_house_val(id470),1.659).
regressionExample(med_house_val(id471),1.569).
regressionExample(med_house_val(id472),1.643).
regressionExample(med_house_val(id473),1.5).
regressionExample(med_house_val(id474),1.505).
regressionExample(med_house_val(id475),1.699).
regressionExample(med_house_val(id476),1.474).
regressionExample(med_house_val(id477),1.527).
regressionExample(med_house_val(id478),1.827).
regressionExample(med_house_val(id479),1.793).
regressionExample(med_house_val(id480),1.577).
regressionExample(med_house_val(id481),1.531).
regressionExample(med_house_val(id482),2.5).
regressionExample(med_house_val(id483),2.063).
regressionExample(med_house_val(id484),2.188).
regressionExample(med_house_val(id485),1.982).
regressionExample(med_house_val(id486),2.536).
regressionExample(med_house_val(id487),2.574).
regressionExample(med_house_val(id488),2.895).
regressionExample(med_house_val(id489),2.417).
regressionExample(med_house_val(id490),4.896).
regressionExample(med_house_val(id491),4.462).
regressionExample(med_house_val(id492),4.563).
regressionExample(med_house_val(id493),3.368).
regressionExample(med_house_val(id494),5.00001).
regressionExample(med_house_val(id495),5.00001).
regressionExample(med_house_val(id496),3.769).
regressionExample(med_house_val(id497),3.096).
regressionExample(med_house_val(id498),1.823).
regressionExample(med_house_val(id499),1.727).
regressionExample(med_house_val(id500),1.508).
regressionExample(med_house_val(id501),1.536).
regressionExample(med_house_val(id502),1.063).
regressionExample(med_house_val(id503),1.423).
regressionExample(med_house_val(id504),1.194).
regressionExample(med_house_val(id505),1.479).
regressionExample(med_house_val(id506),1.329).
regressionExample(med_house_val(id507),1.325).
regressionExample(med_house_val(id508),1.269).
regressionExample(med_house_val(id509),1.438).
regressionExample(med_house_val(id510),5.00001).
regressionExample(med_house_val(id511),5.00001).
regressionExample(med_house_val(id512),5.00001).
regressionExample(med_house_val(id513),5.00001).
regressionExample(med_house_val(id514),4.661).
regressionExample(med_house_val(id515),5.00001).
regressionExample(med_house_val(id516),4.578).
regressionExample(med_house_val(id517),4.716).
regressionExample(med_house_val(id518),5.00001).
regressionExample(med_house_val(id519),3.986).
regressionExample(med_house_val(id520),3.407).
regressionExample(med_house_val(id521),2.899).
regressionExample(med_house_val(id522),3.353).
regressionExample(med_house_val(id523),3.33).
regressionExample(med_house_val(id524),2.41).
regressionExample(med_house_val(id525),1.896).
regressionExample(med_house_val(id526),2.063).
regressionExample(med_house_val(id527),2.157).
regressionExample(med_house_val(id528),2.102).
regressionExample(med_house_val(id529),2.088).
regressionExample(med_house_val(id530),1.979).
regressionExample(med_house_val(id531),2.013).
regressionExample(med_house_val(id532),1.908).
regressionExample(med_house_val(id533),2.079).
regressionExample(med_house_val(id534),2.153).
regressionExample(med_house_val(id535),2.129).
regressionExample(med_house_val(id536),2.927).
regressionExample(med_house_val(id537),2.75).
regressionExample(med_house_val(id538),2.0).
regressionExample(med_house_val(id539),1.734).
regressionExample(med_house_val(id540),1.022).
regressionExample(med_house_val(id541),2.208).
regressionExample(med_house_val(id542),2.428).
regressionExample(med_house_val(id543),2.654).
regressionExample(med_house_val(id544),2.19).
regressionExample(med_house_val(id545),2.821).
regressionExample(med_house_val(id546),3.72).
regressionExample(med_house_val(id547),2.258).
regressionExample(med_house_val(id548),2.208).
regressionExample(med_house_val(id549),2.345).
regressionExample(med_house_val(id550),2.542).
regressionExample(med_house_val(id551),3.518).
regressionExample(med_house_val(id552),2.75).
regressionExample(med_house_val(id553),4.054).
regressionExample(med_house_val(id554),2.281).
regressionExample(med_house_val(id555),2.34).
regressionExample(med_house_val(id556),1.625).
regressionExample(med_house_val(id557),2.434).
regressionExample(med_house_val(id558),2.738).
regressionExample(med_house_val(id559),2.485).
regressionExample(med_house_val(id560),2.44).
regressionExample(med_house_val(id561),2.409).
regressionExample(med_house_val(id562),3.063).
regressionExample(med_house_val(id563),2.4).
regressionExample(med_house_val(id564),2.471).
regressionExample(med_house_val(id565),2.866).
regressionExample(med_house_val(id566),2.667).
regressionExample(med_house_val(id567),2.298).
regressionExample(med_house_val(id568),2.293).
regressionExample(med_house_val(id569),2.284).
regressionExample(med_house_val(id570),2.062).
regressionExample(med_house_val(id571),3.507).
regressionExample(med_house_val(id572),2.31).
regressionExample(med_house_val(id573),2.529).
regressionExample(med_house_val(id574),3.539).
regressionExample(med_house_val(id575),2.917).
regressionExample(med_house_val(id576),1.0).
regressionExample(med_house_val(id577),3.416).
regressionExample(med_house_val(id578),4.125).
regressionExample(med_house_val(id579),2.486).
regressionExample(med_house_val(id580),2.549).
regressionExample(med_house_val(id581),2.415).
regressionExample(med_house_val(id582),2.952).
regressionExample(med_house_val(id583),3.404).
regressionExample(med_house_val(id584),2.747).
regressionExample(med_house_val(id585),2.386).
regressionExample(med_house_val(id586),2.664).
regressionExample(med_house_val(id587),3.302).
regressionExample(med_house_val(id588),2.068).
regressionExample(med_house_val(id589),2.092).
regressionExample(med_house_val(id590),1.958).
regressionExample(med_house_val(id591),2.535).
regressionExample(med_house_val(id592),2.418).
regressionExample(med_house_val(id593),2.525).
regressionExample(med_house_val(id594),2.639).
regressionExample(med_house_val(id595),2.27).
regressionExample(med_house_val(id596),2.209).
regressionExample(med_house_val(id597),2.593).
regressionExample(med_house_val(id598),2.325).
regressionExample(med_house_val(id599),2.316).
regressionExample(med_house_val(id600),2.094).
regressionExample(med_house_val(id601),2.232).
regressionExample(med_house_val(id602),2.099).
regressionExample(med_house_val(id603),2.082).
regressionExample(med_house_val(id604),2.038).
regressionExample(med_house_val(id605),1.957).
regressionExample(med_house_val(id606),1.905).
regressionExample(med_house_val(id607),1.81).
regressionExample(med_house_val(id608),1.849).
regressionExample(med_house_val(id609),1.908).
regressionExample(med_house_val(id610),2.422).
regressionExample(med_house_val(id611),1.883).
regressionExample(med_house_val(id612),1.835).
regressionExample(med_house_val(id613),2.042).
regressionExample(med_house_val(id614),2.519).
regressionExample(med_house_val(id615),1.875).
regressionExample(med_house_val(id616),1.982).
regressionExample(med_house_val(id617),2.19).
regressionExample(med_house_val(id618),2.75).
regressionExample(med_house_val(id619),2.454).
regressionExample(med_house_val(id620),1.775).
regressionExample(med_house_val(id621),1.716).
regressionExample(med_house_val(id622),1.833).
regressionExample(med_house_val(id623),1.75).
regressionExample(med_house_val(id624),1.567).
regressionExample(med_house_val(id625),1.575).
regressionExample(med_house_val(id626),1.798).
regressionExample(med_house_val(id627),2.055).
regressionExample(med_house_val(id628),1.789).
regressionExample(med_house_val(id629),2.625).
regressionExample(med_house_val(id630),1.65).
regressionExample(med_house_val(id631),1.597).
regressionExample(med_house_val(id632),1.583).
regressionExample(med_house_val(id633),1.448).
regressionExample(med_house_val(id634),1.663).
regressionExample(med_house_val(id635),1.91).
regressionExample(med_house_val(id636),1.75).
regressionExample(med_house_val(id637),1.375).
regressionExample(med_house_val(id638),1.417).
regressionExample(med_house_val(id639),2.109).
regressionExample(med_house_val(id640),1.983).
regressionExample(med_house_val(id641),1.574).
regressionExample(med_house_val(id642),2.647).
regressionExample(med_house_val(id643),2.184).
regressionExample(med_house_val(id644),2.351).
regressionExample(med_house_val(id645),3.418).
regressionExample(med_house_val(id646),3.673).
regressionExample(med_house_val(id647),2.435).
regressionExample(med_house_val(id648),1.679).
regressionExample(med_house_val(id649),3.712).
regressionExample(med_house_val(id650),2.189).
regressionExample(med_house_val(id651),2.027).
regressionExample(med_house_val(id652),1.862).
regressionExample(med_house_val(id653),1.889).
regressionExample(med_house_val(id654),1.8).
regressionExample(med_house_val(id655),2.027).
regressionExample(med_house_val(id656),1.817).
regressionExample(med_house_val(id657),1.668).
regressionExample(med_house_val(id658),1.837).
regressionExample(med_house_val(id659),2.18).
regressionExample(med_house_val(id660),1.915).
regressionExample(med_house_val(id661),1.947).
regressionExample(med_house_val(id662),1.872).
regressionExample(med_house_val(id663),2.231).
regressionExample(med_house_val(id664),2.713).
regressionExample(med_house_val(id665),1.941).
regressionExample(med_house_val(id666),1.904).
regressionExample(med_house_val(id667),1.891).
regressionExample(med_house_val(id668),1.846).
regressionExample(med_house_val(id669),1.973).
regressionExample(med_house_val(id670),1.926).
regressionExample(med_house_val(id671),1.922).
regressionExample(med_house_val(id672),1.946).
regressionExample(med_house_val(id673),1.935).
regressionExample(med_house_val(id674),2.026).
regressionExample(med_house_val(id675),0.833).
regressionExample(med_house_val(id676),2.126).
regressionExample(med_house_val(id677),1.878).
regressionExample(med_house_val(id678),2.057).
regressionExample(med_house_val(id679),1.929).
regressionExample(med_house_val(id680),2.052).
regressionExample(med_house_val(id681),2.134).
regressionExample(med_house_val(id682),1.836).
regressionExample(med_house_val(id683),1.784).
regressionExample(med_house_val(id684),2.192).
regressionExample(med_house_val(id685),1.831).
regressionExample(med_house_val(id686),1.571).
regressionExample(med_house_val(id687),1.578).
regressionExample(med_house_val(id688),1.617).
regressionExample(med_house_val(id689),1.521).
regressionExample(med_house_val(id690),1.449).
regressionExample(med_house_val(id691),1.799).
regressionExample(med_house_val(id692),1.791).
regressionExample(med_house_val(id693),1.599).
regressionExample(med_house_val(id694),1.614).
regressionExample(med_house_val(id695),1.704).
regressionExample(med_house_val(id696),1.375).
regressionExample(med_house_val(id697),1.784).
regressionExample(med_house_val(id698),1.552).
